0.941+_-0.01 	0.885+_-0.022 	0.797+_-0.035 	0.556+_-0.203 	0.976+_0.004  
0.934+_-0.014 	0.874+_-0.026 	0.786+_-0.032 	0.552+_-0.217 	0.974+_0.003  
0.936+_-0.012 	0.877+_-0.021 	0.791+_-0.031 	0.541+_-0.2 	0.975+_0.004  
0.939+_-0.012 	0.881+_-0.024 	0.794+_-0.036 	0.551+_-0.195 	0.975+_0.004  
0.939+_-0.01 	0.883+_-0.024 	0.795+_-0.039 	0.551+_-0.2 	0.975+_0.004  
0.94+_-0.011 	0.884+_-0.025 	0.797+_-0.038 	0.547+_-0.206 	0.976+_0.004  
0.94+_-0.01 	0.884+_-0.023 	0.796+_-0.038 	0.549+_-0.204 	0.976+_0.004 

 
0.941+_-0.009 	0.885+_-0.021 	0.793+_-0.035 	0.55+_-0.205 	0.976+_0.003  
0.934+_-0.015 	0.873+_-0.023 	0.783+_-0.035 	0.547+_-0.216 	0.974+_0.004  
0.936+_-0.011 	0.877+_-0.02 	0.789+_-0.031 	0.537+_-0.202 	0.974+_0.004  
0.939+_-0.012 	0.881+_-0.022 	0.791+_-0.037 	0.545+_-0.197 	0.975+_0.004  
0.94+_-0.01 	0.884+_-0.024 	0.795+_-0.041 	0.546+_-0.202 	0.975+_0.003  
0.94+_-0.011 	0.884+_-0.022 	0.795+_-0.042 	0.541+_-0.207 	0.976+_0.004  
0.94+_-0.01 	0.884+_-0.024 	0.794+_-0.043 	0.543+_-0.209 	0.976+_0.003 


0.928+_-0.013 	0.868+_-0.016 	0.77+_-0.057 	0.422+_-0.291 	0.973+_0.003  
0.924+_-0.016 	0.86+_-0.02 	0.765+_-0.051 	0.538+_-0.165 	0.972+_0.003  
0.927+_-0.012 	0.862+_-0.017 	0.773+_-0.04 	0.491+_-0.185 	0.973+_0.003  
0.928+_-0.013 	0.867+_-0.02 	0.774+_-0.046 	0.488+_-0.201 	0.973+_0.003  
0.928+_-0.012 	0.869+_-0.019 	0.77+_-0.056 	0.412+_-0.287 	0.973+_0.003  
0.929+_-0.014 	0.869+_-0.017 	0.772+_-0.055 	0.414+_-0.289 	0.973+_0.003  
0.929+_-0.013 	0.868+_-0.019 	0.774+_-0.056 	0.417+_-0.289 	0.973+_0.003  
