0.91+_-0.01 	0.825+_-0.024 	0.656+_-0.067 	0.477+_-0.133 	0.966+_0.006  
0.9+_-0.016 	0.807+_-0.035 	0.658+_-0.071 	0.475+_-0.187 	0.963+_0.007  
0.904+_-0.013 	0.815+_-0.033 	0.654+_-0.084 	0.481+_-0.152 	0.964+_0.007  
0.906+_-0.012 	0.816+_-0.035 	0.649+_-0.093 	0.481+_-0.159 	0.965+_0.006  
0.909+_-0.012 	0.817+_-0.033 	0.65+_-0.077 	0.484+_-0.157 	0.965+_0.006  
0.909+_-0.013 	0.819+_-0.031 	0.654+_-0.087 	0.477+_-0.128 	0.965+_0.006  
0.91+_-0.011 	0.821+_-0.031 	0.656+_-0.091 	0.476+_-0.128 	0.965+_0.006 

 
0.907+_-0.01 	0.813+_-0.029 	0.637+_-0.074 	0.456+_-0.135 	0.964+_0.005  
0.899+_-0.017 	0.8+_-0.038 	0.644+_-0.066 	0.46+_-0.172 	0.962+_0.007  
0.903+_-0.013 	0.808+_-0.034 	0.64+_-0.084 	0.462+_-0.143 	0.963+_0.007  
0.905+_-0.011 	0.806+_-0.04 	0.626+_-0.092 	0.464+_-0.147 	0.963+_0.006  
0.907+_-0.013 	0.807+_-0.036 	0.633+_-0.087 	0.467+_-0.142 	0.963+_0.006  
0.906+_-0.013 	0.809+_-0.034 	0.635+_-0.088 	0.462+_-0.127 	0.963+_0.006  
0.906+_-0.012 	0.81+_-0.031 	0.639+_-0.082 	0.456+_-0.13 	0.964+_0.006 


0.901+_-0.008 	0.803+_-0.031 	0.628+_-0.1 	0.22+_-0.374 	0.963+_0.007  
0.897+_-0.013 	0.795+_-0.035 	0.637+_-0.068 	0.4+_-0.22 	0.961+_0.007  
0.901+_-0.013 	0.806+_-0.036 	0.65+_-0.081 	0.343+_-0.307 	0.963+_0.007  
0.903+_-0.012 	0.806+_-0.036 	0.649+_-0.091 	0.344+_-0.323 	0.963+_0.006  
0.902+_-0.01 	0.804+_-0.04 	0.649+_-0.094 	0.309+_-0.319 	0.963+_0.006  
0.902+_-0.01 	0.805+_-0.042 	0.649+_-0.095 	0.31+_-0.322 	0.963+_0.006  
0.902+_-0.01 	0.805+_-0.037 	0.646+_-0.102 	0.267+_-0.369 	0.963+_0.005  
